Feature,Importance,Importance_sum
numeric__nr.employed,1.0,0.515601390160775
numeric__campaign,0.4980035098552136,0.25677130198629333
numeric__cons.conf.idx,0.1218057383755489,0.06280320803599267
nominal__contact_telephone,0.1169281622644849,0.060288323012513086
nominal__default_unknown,0.09778503899793928,0.050418102044263086
nominal__poutcome_success,0.036137886182807104,0.018632744353327204
nominal__month_oct,0.025317224578178844,0.013053596187521553
nominal__loan_yes,0.018360483744413368,0.009466690942643845
nominal__month_may,0.017332619231128412,0.008936722570697192
nominal__job_blue-collar,0.004374542871522194,0.002255520385874752
numeric__pdays,0.0021175634507156456,0.0010918186589426347
nominal__education_basic.6y,0.000982686143384772,0.0005066743416209191
nominal__job_student,0.00033729024563036833,0.00017390731953468718
nominal__job_housemaid,0.0,0.0
nominal__marital_unknown,0.0,0.0
nominal__marital_single,0.0,0.0
nominal__marital_married,0.0,0.0
nominal__job_unknown,0.0,0.0
nominal__job_unemployed,0.0,0.0
nominal__job_technician,0.0,0.0
nominal__job_services,0.0,0.0
nominal__job_self-employed,0.0,0.0
nominal__job_entrepreneur,0.0,0.0
nominal__job_retired,0.0,0.0
nominal__job_management,0.0,0.0
nominal__month_mar,0.0,0.0
nominal__month_nov,0.0,0.0
nominal__month_jul,0.0,0.0
nominal__month_dec,0.0,0.0
nominal__month_aug,0.0,0.0
nominal__housing_yes,0.0,0.0
nominal__housing_unknown,0.0,0.0
nominal__default_yes,0.0,0.0
nominal__poutcome_nonexistent,0.0,0.0
nominal__month_sep,0.0,0.0
nominal__month_jun,0.0,0.0
nominal__loan_unknown,0.0,0.0
nominal__education_basic.9y,0.0,0.0
nominal__education_university.degree,0.0,0.0
nominal__education_professional.course,0.0,0.0
nominal__education_illiterate,0.0,0.0
nominal__education_high.school,0.0,0.0
nominal__education_unknown,0.0,0.0
numeric__age,0.0,0.0
numeric__cons.price.idx,0.0,0.0
numeric__previous,0.0,0.0
