Feature,Importance,Importance_sum
nominal__poutcome_success,1.0,0.20692103904974274
numeric__nr.employed,0.6719748134512091,0.13904572661458123
nominal__month_may,0.6205883657613552,0.12841278946552143
nominal__contact_telephone,0.3645714909542675,0.07543751171617093
nominal__month_mar,0.33755825907604375,0.06984790570783724
nominal__default_unknown,0.28786742992049774,0.059565827707728405
nominal__month_nov,0.22617439298205658,0.04680024040229199
numeric__campaign,0.15798782037567544,0.03269100394933888
nominal__poutcome_nonexistent,0.14550209934772837,0.03010744558095085
nominal__job_retired,0.1331877633226015,0.02755935037542392
nominal__month_jun,0.10497149320843396,0.02172081044529217
numeric__pdays,0.1046805399178088,0.02166060608808107
nominal__month_jul,0.09285938520602711,0.01921456047235144
nominal__education_university.degree,0.08624134943947759,0.01784514963506865
nominal__education_basic.9y,0.08293416156439423,0.017160822883623694
numeric__previous,0.07220947166643446,0.014941658906451579
nominal__marital_single,0.07199899212162608,0.014898106260341111
nominal__month_aug,0.06479817429091288,0.013408105552802021
numeric__cons.conf.idx,0.05879230574582154,0.012165364993055554
nominal__loan_yes,0.04886446984070007,0.010111086872052477
nominal__job_technician,0.036335989313359886,0.007518680663620777
nominal__job_services,0.0245701794416595,0.0050840870597068126
nominal__job_management,0.01845109415937602,0.003817919575062726
nominal__marital_married,0.01581960312857814,0.00327340871671995
numeric__cons.price.idx,0.002579589500382247,0.0005337713397409014
nominal__education_professional.course,0.001242116159970518,0.0002570199664415761
nominal__job_entrepreneur,0.0,0.0
nominal__job_blue-collar,0.0,0.0
nominal__job_housemaid,0.0,0.0
nominal__job_self-employed,0.0,0.0
nominal__marital_unknown,0.0,0.0
nominal__job_unknown,0.0,0.0
nominal__job_student,0.0,0.0
nominal__job_unemployed,0.0,0.0
nominal__month_sep,0.0,0.0
nominal__month_dec,0.0,0.0
nominal__default_yes,0.0,0.0
nominal__month_oct,0.0,0.0
nominal__housing_yes,0.0,0.0
nominal__housing_unknown,0.0,0.0
nominal__loan_unknown,0.0,0.0
nominal__education_basic.6y,0.0,0.0
nominal__education_high.school,0.0,0.0
nominal__education_illiterate,0.0,0.0
nominal__education_unknown,0.0,0.0
numeric__age,0.0,0.0
