Feature,Importance
numeric__euribor3m,0.1820230746167298
numeric__campaign,0.08111445126980328
numeric__cons.conf.idx,0.07990401927122132
nominal__contact_telephone,0.06663181471950028
nominal__default_unknown,0.06070689375536035
numeric__pdays,0.04771846381417479
numeric__cons.price.idx,0.04588384682202258
nominal__housing_yes,0.04469477906451351
nominal__loan_yes,0.03691481202055283
numeric__age,0.03454995460135959
nominal__month_may,0.031147702982882674
nominal__poutcome_success,0.029674825537796146
numeric__pdays_contacted,0.023332201007009723
nominal__job_blue-collar,0.02207218480916075
numeric__previous,0.02153085919293912
nominal__poutcome_nonexistent,0.017492646699191615
nominal__education_basic.9y,0.015555024007297387
nominal__education_university.degree,0.013664381530209801
nominal__job_technician,0.012603849236122195
nominal__month_oct,0.012168662549413362
nominal__marital_married,0.010412328505780302
nominal__marital_single,0.010364681089498331
nominal__education_high.school,0.008835247102802268
nominal__month_mar,0.00832146176824536
nominal__job_services,0.007630440756941762
nominal__job_management,0.0072495558664236095
nominal__job_retired,0.006813880780858504
nominal__education_professional.course,0.006474672053104046
nominal__month_jun,0.0063659500978754426
nominal__education_unknown,0.005546642299426325
nominal__education_basic.6y,0.005096109700114942
nominal__job_self-employed,0.004527614138127153
nominal__job_student,0.0044343444431417765
nominal__month_aug,0.004039815155327724
nominal__job_entrepreneur,0.003914613321826491
nominal__month_nov,0.0035648531051807007
nominal__job_unemployed,0.0033296516988171815
nominal__month_sep,0.003168102263347075
nominal__month_jul,0.0030659192722913603
nominal__job_housemaid,0.002243929134426869
nominal__housing_unknown,0.0017899595847166905
nominal__loan_unknown,0.001633146124110451
nominal__job_unknown,0.000800250861051584
nominal__month_dec,0.0005065563920975428
nominal__marital_unknown,0.00047093859430364385
nominal__education_illiterate,1.4888382901819848e-05
nominal__default_yes,0.0
