age,job,marital,education,default,housing,loan,contact,month,day_of_week,campaign,pdays,previous,poutcome,cons.price.idx,cons.conf.idx,euribor3m,pdays_contacted,y
24,technician,single,professional.course,no,no,no,cellular,jun,tue,2,-1,1,failure,92.963,-40.8,1.262,0,0
32,blue-collar,married,professional.course,no,no,no,telephone,may,thu,1,-1,0,nonexistent,93.994,-36.4,4.855,0,1
33,self-employed,single,university.degree,no,no,no,telephone,nov,thu,1,-1,0,nonexistent,93.2,-42.0,4.245,0,0
38,entrepreneur,married,basic.9y,no,no,yes,telephone,jul,fri,4,-1,0,nonexistent,93.918,-42.7,4.957,0,0
39,services,married,high.school,no,yes,yes,cellular,jul,tue,4,-1,0,nonexistent,93.918,-42.7,4.961,0,0
43,blue-collar,married,basic.4y,no,yes,no,telephone,jun,wed,4,-1,0,nonexistent,94.465,-41.8,4.864,0,0
57,blue-collar,divorced,basic.9y,no,yes,no,cellular,nov,mon,1,-1,0,nonexistent,93.2,-42.0,4.191,0,0
55,management,married,unknown,no,yes,yes,telephone,may,wed,2,-1,0,nonexistent,93.994,-36.4,4.859,0,0
36,blue-collar,married,basic.9y,no,no,no,telephone,may,mon,4,-1,0,nonexistent,93.994,-36.4,4.857,0,0
57,admin.,single,high.school,no,yes,no,cellular,aug,thu,1,-1,0,nonexistent,92.201,-31.4,0.873,0,1
42,admin.,married,university.degree,no,no,no,telephone,jun,tue,14,-1,0,nonexistent,94.465,-41.8,4.864,0,0
43,admin.,married,high.school,unknown,yes,no,cellular,jun,mon,1,-1,0,nonexistent,92.963,-40.8,1.266,0,0
38,blue-collar,married,basic.6y,no,no,no,telephone,may,mon,3,-1,0,nonexistent,93.994,-36.4,4.857,0,0
41,blue-collar,married,basic.4y,no,no,no,telephone,may,thu,1,-1,0,nonexistent,93.994,-36.4,4.86,0,0
35,technician,married,university.degree,no,no,no,telephone,jun,mon,1,-1,0,nonexistent,94.465,-41.8,4.961,0,0
38,blue-collar,married,high.school,unknown,yes,no,cellular,may,mon,1,-1,0,nonexistent,92.893,-46.2,1.299,0,0
54,admin.,married,professional.course,no,no,no,cellular,nov,tue,2,10,1,success,94.767,-50.8,1.035,1,1
47,blue-collar,married,unknown,unknown,no,no,telephone,may,tue,1,-1,0,nonexistent,93.994,-36.4,4.856,0,1
41,admin.,married,high.school,no,no,yes,cellular,apr,fri,2,-1,0,nonexistent,93.075,-47.1,1.405,0,0
43,technician,single,professional.course,unknown,yes,no,telephone,jul,wed,7,-1,0,nonexistent,93.918,-42.7,4.957,0,0
59,retired,married,high.school,unknown,no,yes,telephone,jun,thu,1,-1,0,nonexistent,94.465,-41.8,4.866,0,0
42,management,married,university.degree,no,yes,no,cellular,aug,thu,2,-1,0,nonexistent,93.444,-36.1,4.962,0,0
47,management,married,basic.4y,unknown,no,no,telephone,may,fri,2,-1,0,nonexistent,93.994,-36.4,4.857,0,0
39,self-employed,divorced,university.degree,no,no,no,cellular,may,mon,1,-1,0,nonexistent,92.893,-46.2,1.244,0,0
44,retired,single,high.school,no,no,no,cellular,aug,mon,4,-1,0,nonexistent,94.027,-38.3,0.896,0,1
68,retired,divorced,high.school,no,yes,yes,cellular,jul,wed,1,3,1,success,94.215,-40.3,0.896,1,1
31,technician,married,professional.course,no,no,no,cellular,aug,fri,2,-1,0,nonexistent,93.444,-36.1,4.964,0,0
49,admin.,single,high.school,no,yes,no,cellular,jul,thu,13,-1,0,nonexistent,93.918,-42.7,4.968,0,0
32,technician,single,university.degree,no,yes,no,cellular,aug,tue,2,-1,0,nonexistent,93.444,-36.1,4.966,0,0
55,technician,married,professional.course,no,no,no,cellular,apr,mon,2,-1,1,failure,93.075,-47.1,1.466,0,0
39,admin.,married,university.degree,no,yes,no,cellular,aug,mon,4,-1,0,nonexistent,93.444,-36.1,4.965,0,0
33,blue-collar,married,basic.9y,no,unknown,unknown,cellular,nov,tue,1,-1,1,failure,93.2,-42.0,4.153,0,0
31,services,divorced,high.school,no,yes,yes,cellular,nov,mon,1,-1,0,nonexistent,93.2,-42.0,4.191,0,0
51,blue-collar,married,basic.9y,unknown,yes,no,cellular,nov,fri,1,-1,0,nonexistent,93.2,-42.0,4.021,0,0
32,admin.,single,university.degree,no,yes,no,cellular,jul,wed,5,-1,0,nonexistent,92.469,-33.6,1.029,0,1
41,technician,married,professional.course,no,unknown,unknown,telephone,may,tue,1,-1,0,nonexistent,93.994,-36.4,4.856,0,0
57,housemaid,married,basic.6y,no,no,yes,telephone,may,mon,4,-1,0,nonexistent,93.994,-36.4,4.858,0,0
35,blue-collar,married,professional.course,no,yes,no,cellular,jul,mon,5,-1,0,nonexistent,93.918,-42.7,4.96,0,0
33,blue-collar,married,basic.9y,no,no,yes,telephone,may,wed,1,-1,0,nonexistent,93.994,-36.4,4.859,0,0
38,blue-collar,married,unknown,no,no,no,cellular,nov,mon,1,-1,0,nonexistent,93.2,-42.0,4.191,0,0
42,entrepreneur,single,unknown,no,no,no,cellular,jul,wed,1,-1,0,nonexistent,93.918,-42.7,4.963,0,0
43,blue-collar,divorced,basic.9y,no,unknown,unknown,cellular,nov,thu,3,-1,0,nonexistent,93.2,-42.0,4.076,0,0
28,blue-collar,single,high.school,no,yes,no,cellular,apr,thu,2,-1,1,failure,93.075,-47.1,1.483,0,0
24,admin.,single,university.degree,no,yes,no,telephone,apr,thu,1,-1,0,nonexistent,93.075,-47.1,1.41,0,0
39,management,married,high.school,no,no,no,cellular,aug,wed,1,-1,0,nonexistent,93.444,-36.1,4.965,0,0
41,entrepreneur,married,basic.4y,no,yes,no,cellular,jul,mon,1,-1,0,nonexistent,93.918,-42.7,4.96,0,0
32,admin.,married,university.degree,no,yes,no,cellular,may,thu,6,-1,1,failure,92.893,-46.2,1.327,0,0
37,blue-collar,married,basic.9y,unknown,no,no,telephone,may,wed,2,-1,0,nonexistent,92.893,-46.2,1.334,0,0
37,admin.,married,high.school,no,yes,no,telephone,may,thu,1,-1,0,nonexistent,93.994,-36.4,4.86,0,0
27,blue-collar,single,basic.9y,no,no,no,telephone,jun,wed,2,-1,0,nonexistent,94.465,-41.8,4.864,0,0
49,admin.,single,high.school,no,no,no,telephone,jul,thu,2,-1,0,nonexistent,93.918,-42.7,4.968,0,0
33,technician,single,high.school,no,no,no,cellular,apr,fri,2,-1,0,nonexistent,93.075,-47.1,1.405,0,0
58,retired,single,professional.course,no,yes,no,cellular,apr,wed,3,-1,0,nonexistent,93.075,-47.1,1.405,0,1
40,blue-collar,married,basic.4y,unknown,yes,no,cellular,jul,thu,1,-1,0,nonexistent,93.918,-42.7,4.963,0,0
76,management,married,unknown,no,no,no,cellular,sep,fri,1,-1,0,nonexistent,92.379,-29.8,0.803,0,0
67,admin.,married,basic.4y,unknown,no,no,cellular,jun,tue,1,-1,0,nonexistent,92.963,-40.8,1.262,0,1
26,admin.,divorced,basic.9y,no,no,no,cellular,jul,mon,3,-1,0,nonexistent,93.918,-42.7,4.96,0,0
41,admin.,married,university.degree,no,yes,no,telephone,may,thu,1,-1,0,nonexistent,93.994,-36.4,4.86,0,0
39,blue-collar,married,basic.6y,unknown,yes,yes,telephone,may,tue,1,-1,0,nonexistent,93.994,-36.4,4.857,0,0
48,admin.,married,university.degree,no,yes,yes,cellular,nov,tue,1,-1,1,failure,93.2,-42.0,4.153,0,0
70,technician,married,unknown,no,no,no,cellular,aug,thu,1,-1,0,nonexistent,94.027,-38.3,0.899,0,1
33,blue-collar,married,basic.9y,no,no,no,telephone,jun,tue,2,-1,0,nonexistent,94.465,-41.8,4.864,0,0
49,admin.,divorced,basic.9y,no,yes,no,cellular,jul,wed,1,-1,0,nonexistent,93.918,-42.7,4.963,0,0
34,blue-collar,married,basic.6y,no,no,no,cellular,may,tue,2,-1,1,failure,92.893,-46.2,1.344,0,0
50,management,married,university.degree,no,no,no,cellular,nov,tue,1,-1,0,nonexistent,93.2,-42.0,4.153,0,0
34,housemaid,married,university.degree,no,no,yes,cellular,aug,thu,2,6,1,success,92.201,-31.4,0.873,1,0
